,DT9_415,DT1_415,DT8_415,DT7_415,DT5_415,DT6_415,DT2_415,DT3_415,DT4_415,SS1_33
0,-0.0172436191762169,-0.0169439148407271,-0.0114048152842764,-0.018818593134514,-0.0150756677433804,-0.0221733132486088,-0.0400713409198721,-0.0088491495463074,-0.019005217277473,0.22528028013315549
1,-0.0183715880828219,-0.0155910900279527,-0.0121631820576724,-0.0193365940631335,-0.0142386866086964,-0.0228522595695426,-0.0357914929145948,-0.0088531112287405,-0.019460429614279,0.22235645897350054
2,-0.0183856891871162,-0.0156043265875206,-0.0121720721640039,-0.0193576841861033,-0.0142472635839865,-0.0228850881455547,-0.0358329647145362,-0.0088534413689433,-0.0194835857240129,0.22252062592544064
3,-0.0177236360339813,-0.0157499287427676,-0.0117318762441421,-0.019503490933292,-0.014341610312178,-0.0232419612528284,-0.0362891545138915,-0.0088570729111737,-0.0197383029910851,0.2228719340144707
4,-0.0176987488976053,-0.0157234556236318,-0.011716278534885,-0.0194616603305185,-0.0143244563615977,-0.0231763213066413,-0.0362062109140088,-0.0088564126307682,-0.0196919907616174,0.22254950509212534
5,-0.0175992003521011,-0.0259915507884303,-0.0116538876978564,-0.0263291632617008,-0.027710505939848,-0.0272773111144653,-0.061224127942933,-0.0227646735750843,-0.0282679665994318,0.3047408806323233
6,-0.0196096250684981,-0.0675951563781367,-0.0132008957937589,-0.0581411594929062,-0.0784851559579332,-0.0549069873604231,-0.1696687499371733,-0.0753981772586413,-0.0677479941842216,0.6629973871922985
7,-0.0307387657165056,-0.0693523618291529,-0.0207590153280768,-0.0592160026261764,-0.0851766784426412,-0.0472919823613128,-0.1788927995767678,-0.0897756964603773,-0.066629377712033,0.7065732015962567
8,-0.0479980238452733,-0.0946538686808031,-0.0330310526853246,-0.0893808773048576,-0.1076626601663986,-0.0721182480386838,-0.20425452509137,-0.1045735030541446,-0.0894397909645239,0.9043212304887689
9,-0.0633197457633483,-0.0795339401842081,-0.0431329734918242,-0.101991835274563,-0.0773650728715614,-0.1196675398696065,-0.1220864756229452,-0.0581903756151709,-0.1060463963481895,0.8322161187570316
10,-0.0807171658807886,-0.0476046922331027,-0.0544544318784814,-0.0793813101684905,-0.0363062627059124,-0.1009737256638248,-0.0405614146904412,-0.0131751774689362,-0.075743295390659,0.5882236166512129
11,-0.091788307604744,-0.0474723266374236,-0.0618976937718814,-0.0805795695551377,-0.0362204929530111,-0.1009170690736885,-0.0401466966910273,-0.0131718760669086,-0.0755117342433206,0.607638705928153
12,-0.0909926474780685,-0.0484043910174881,-0.0610029250668517,-0.0885404195681408,-0.04220716008449,-0.1097746060258176,-0.0686999640234294,-0.02518061610389,-0.0865324496441173,0.6817996596235361
13,-0.0905173679027383,-0.0778354089800566,-0.0609209263640374,-0.1042343287629823,-0.0741916346857342,-0.1218172250821537,-0.1184396502869324,-0.0535221675413035,-0.1059168037268114,0.8696303124134133
14,-0.0848897284613263,-0.0449223141542891,-0.0573651130065948,-0.0673948016314657,-0.0346259560211824,-0.0774792334564485,-0.0578626840939135,-0.0131632924216367,-0.0589777163602408,0.5557157837205082
15,-0.0830471584272332,-0.0373659473782122,-0.0561472187814477,-0.0827193905818935,-0.0299328482977114,-0.1066976848093133,-0.0475138062015074,-0.0131682445246782,-0.0796279589362484,0.5957441589656369
16,-0.0826156866797109,-0.0349302677409485,-0.0557135760059616,-0.0792319359412491,-0.028419460000317,-0.1003970387044473,-0.0398149222914961,-0.0131692349452865,-0.0753264853254499,0.5688975543930113
17,-0.084680352705673,-0.0747131890737641,-0.057066175938439,-0.107482565913716,-0.080741133219173,-0.1181460728701381,-0.1403343528900429,-0.0679490242133652,-0.1102174617464353,0.9036978954555153
18,-0.0815488737380116,-0.0736986871437725,-0.0550022842067476,-0.108819904531563,-0.089304724077807,-0.109565076283668,-0.1737302382897148,-0.0862080735955174,-0.1116197052774735,0.9522899306897159
19,-0.0748407189074784,-0.0727849121595439,-0.0503562961885274,-0.086065762059133,-0.0887403834191149,-0.0681894490682139,-0.1741864280890701,-0.0862117051377478,-0.0826360508245457,0.8451051217993708
20,-0.0648410864837964,-0.1255624062509416,-0.04376353402432,-0.1211509818821649,-0.1572967964461167,-0.0908199826335477,-0.3116187487115097,-0.1642294681483749,-0.1276366404140017,1.274378454821715
21,-0.0579072437832248,-0.1351478589083588,-0.0384380206101981,-0.116368203563582,-0.1696858104154499,-0.0949502781438241,-0.3367043979730379,-0.1785019810130041,-0.1357918042687233,1.3318942278387453
22,-0.0257337750751426,-0.0986140314173621,-0.0172536146383845,-0.0910415326258722,-0.119350453683406,-0.0885100049169386,-0.2444967839510407,-0.1179944124515747,-0.1089675771122265,0.9739204472692364
23,-0.0200863408735712,-0.0475068121435653,-0.0133124442798514,-0.0526865142857037,-0.0559585908619567,-0.0577640217994849,-0.113433350230745,-0.0523121348570925,-0.0618594683459092,0.5320882325889116
