,DT9,DT1,DT8,DT7,DT5,DT6,DT2,DT3,DT4,SS1_TF1
0,-0.017243613228767496,-0.01694391435207897,-0.011404811230294128,-0.018818590923843245,-0.015075667362364192,-0.022173312407990385,-0.04007133970347367,-0.00884914935099095,-0.019005216743958893,-0.21477388489331514
1,-0.01837158093511613,-0.015591089624701219,-0.012163177205193136,-0.01933659168396489,-0.014238686268675905,-0.022852258666199745,-0.03579149197580265,-0.008853111037783105,-0.019460429069434813,-0.21185025947548855
2,-0.01838568202037485,-0.015604326183056728,-0.012172067299186936,-0.019357681798337505,-0.01424726324309201,-0.022885087238239295,-0.03583296377226104,-0.008853441177669482,-0.019483585177189313,-0.2120144154978584
3,-0.01772362959773733,-0.01574992833104727,-0.01173187186218758,-0.019503488505703624,-0.014341609967314388,-0.02324196031900978,-0.036289153546819816,-0.00885707271991645,-0.019738302430455452,-0.21236570023682078
4,-0.017698742492839602,-0.015723455214344546,-0.011716274173345823,-0.01946165792010324,-0.01432445601847386,-0.023176320380868167,-0.03620620995397463,-0.008856412440129292,-0.019691990204985108,-0.21204329280739967
5,-0.017599192780780024,-0.025991548777748362,-0.011653882525432634,-0.026329156281006946,-0.02771050381442029,-0.0272773090989334,-0.06122412276737261,-0.022764671571607723,-0.028267964521180345,-0.29422814619838533
6,-0.01960960234733925,-0.06759509032353012,-0.013200879923324667,-0.058141024732120475,-0.07848507407004149,-0.0549069542230431,-0.16966854056328423,-0.07539805477146957,-0.06774793749268397,-0.6524316223461493
7,-0.03073869182698642,-0.06935228476392703,-0.020758964928919568,-0.05921585012375095,-0.08517656858822785,-0.04729195438406561,-0.17889253542307865,-0.08977548077704191,-0.06662931516185104,-0.6959982443407258
8,-0.04799768761030813,-0.09465362497984281,-0.033030820543550284,-0.08938021497191578,-0.10766238235796913,-0.07211813857103289,-0.20425400706084937,-0.1045730690043795,-0.08943961348324377,-0.8936970871714514
9,-0.06331897778320067,-0.07953379986655287,-0.043132457730006686,-0.10199084509802488,-0.07736495754290976,-0.11966717706834215,-0.12208633881828489,-0.05819028921652099,-0.10604618615306817,-0.8216113363001905
10,-0.08071716588026191,-0.04760469223310258,-0.05445443187814831,-0.07938131016846399,-0.03630626270591201,-0.10097372566381788,-0.04056141469043758,-0.01317517746893645,-0.07574329539065856,-0.5776721777120779
11,-0.09178830760338241,-0.047472326637422076,-0.061897693771023464,-0.08057956955510162,-0.03622049295301142,-0.10091706907367902,-0.04014669669102944,-0.013171876066908145,-0.07551173424331947,-0.597083683691905
12,-0.0909926474767113,-0.04840439101748793,-0.06100292506601068,-0.08854041956807478,-0.04220716008448835,-0.10977460602580257,-0.06869996402343248,-0.025180616103890222,-0.08653244964411423,-0.6712299429724635
13,-0.09051736790116512,-0.07783540898005141,-0.06092092636304868,-0.10423432876277396,-0.07419163468572901,-0.12181722508211994,-0.11843965028692821,-0.053522167541301235,-0.10591680372680067,-0.859015657515006
14,-0.08488972846061098,-0.044922314154288316,-0.05736511300614047,-0.0673948016314539,-0.03462595602118163,-0.07747923345644663,-0.057862684093913735,-0.013163292421636956,-0.0589777163602403,-0.5451700625143361
15,-0.08304715842657538,-0.03736594737821258,-0.05614721878102901,-0.0827193905818581,-0.029932848297711888,-0.10669768480930404,-0.047513806201506095,-0.013168244524678114,-0.07962795893624579,-0.5851913456364733
16,-0.08261568667909915,-0.034930267740948255,-0.05571357600557521,-0.07923193594122359,-0.028419460000316005,-0.10039703870444115,-0.039814922291496795,-0.013169234945286604,-0.07532648532544914,-0.5583495429830762
17,-0.08468035270464977,-0.07471318907375887,-0.057066175937791036,-0.10748256591346911,-0.08074113321916727,-0.11814607287010774,-0.14033435289003637,-0.06794902421335952,-0.11021746174642257,-0.8930739202232933
18,-0.08154887373718295,-0.07369868714376666,-0.05500228420622031,-0.10881990453128877,-0.08930472407779981,-0.10956507628364523,-0.1737302382896969,-0.08620807359550187,-0.11161970527745943,-0.9416520112266112
19,-0.07484071890708952,-0.07278491215954085,-0.05035629618828135,-0.08606576205907909,-0.08874038341911049,-0.06818944906821182,-0.17418642808905965,-0.0862117051377377,-0.08263605082454113,-0.8344970083610458
20,-0.064841086483469,-0.12556240625082618,-0.043763534024107605,-0.12115098188137538,-0.1572967964459314,-0.09081998263351496,-0.31161874871106854,-0.16422946814759248,-0.12763664041391257,-1.263628980567931
21,-0.05790724378302165,-0.13514785890817088,-0.038438020610070005,-0.11636820356289225,-0.16968581041514635,-0.09495027814378197,-0.33670439797229745,-0.1785019810115957,-0.1357918042685861,-1.321121312897017
22,-0.025733700640366522,-0.0986137327969741,-0.01725356365431944,-0.09104079783430648,-0.11935004078096001,-0.08850981736068515,-0.24449585550387296,-0.11799373589235894,-0.1089672584040009,-0.9632760167841019
23,-0.020086322520233093,-0.0475067926656756,-0.013312431786053043,-0.05268643040289994,-0.05595856487825613,-0.05776399498637601,-0.11343329629111565,-0.05231210074891471,-0.061859438270713475,-0.5215465028624787
