,DT9_11,DT9_415,DT1_11,DT1_415,DT8_11,DT8_415,DT7_11,DT7_415,DT5_11,DT5_415,DT6_11,DT6_415,DT2_11,DT2_415,DT3_11,DT3_415,DT4_11,DT4_415,SS1_11
0,-0.0001865656144786776,-0.0023291228756851566,-0.0003215870569304847,-0.0018974578936339498,-0.00019654162188054874,-0.0024817501669248407,-0.00022385831436887673,-0.0016065398440841872,-0.00031538818389937896,-0.0011947675119428312,-0.0003377286941440358,-0.001929743485040279,-0.00031733419658627466,-0.0016309785380899829,-0.00032348561794293763,-0.001259286088856008,-0.0003158675010794291,-0.0013926345637745874,-0.0003070894428531104
1,-0.00016213035460707804,-0.002424895371695978,-0.00031740255103709285,-0.001786176090768846,-0.00017325029194788406,-0.002579622504243758,-0.00021447593675201176,-0.0016301191949865948,-0.00031122953139733873,-0.0011485313584397704,-0.0003335169385692503,-0.0019685438729071993,-0.0003131699939184646,-0.0014912250343871835,-0.00031932138909575135,-0.0012554127071030877,-0.00031170515974727906,-0.0014113169878496488,-0.00030289460071459217
2,-0.00016211656202997116,-0.0024263873855485093,-0.0003176369008881236,-0.0017874591874301822,-0.00017325083886451549,-0.0025810467231212144,-0.0002144988007163232,-0.0016314860172922966,-0.00031146329760576696,-0.0011491970362870658,-0.0003337506608860576,-0.001970859598029046,-0.0003134040415636662,-0.0014927737450170907,-0.0003195554343147212,-0.0012556737100716398,-0.00031193896306257456,-0.001412715965439766,-0.00030313009173024485
3,-0.00017445561478167642,-0.0023681560081108715,-0.00031814278714277115,-0.0017994907874459966,-0.00018491812473895894,-0.00252236661942869,-0.0002135558672721289,-0.0016398231512095808,-0.0003119627372814185,-0.0011544413761777124,-0.0003342637850925883,-0.0019939851266126117,-0.00031390658831229534,-0.0015077280797749445,-0.000320057954913932,-0.0012564667098482398,-0.0003124388114254771,-0.0014260245451283827,-0.0003036343277590089
4,-0.00017443200513198308,-0.0023654756069613303,-0.00031768250431713434,-0.001796932983816277,-0.00018486923527645576,-0.002519820547438292,-0.0002135150501558297,-0.001637116597797775,-0.00031150363187026637,-0.0011531184461971832,-0.00033380469627885596,-0.001989362979753296,-0.00031344691559395053,-0.0015046390049741722,-0.00031959828704705587,-0.0012559531501466802,-0.0003119796314710306,-0.0014232349451914058,-0.00030317181517583046
5,-0.0002932206704956185,-0.0024746589844070496,-0.00043498380282291725,-0.002728536661314642,-0.00030356650879201206,-0.0026295435541478407,-0.00026177476289239725,-0.002123934564764947,-0.000428215647076071,-0.0019439829689427398,-0.0004510224180381933,-0.002367432982622422,-0.00043043447833197575,-0.0024158463121281924,-0.0004364378304386612,-0.0024753649756748086,-0.00042876893477685694,-0.0019724069705927406,-0.00042107658623327047
6,-0.0007619481906094575,-0.0031629670257994984,-0.0009434319925927287,-0.006559098179675902,-0.0007743856861104087,-0.003352840601457539,-0.000442980797282451,-0.004356808088765309,-0.0009314378201601751,-0.0050251057157490765,-0.0009587009950562754,-0.004639237161889111,-0.0009359666751588705,-0.006391359392845889,-0.0009405069595444187,-0.0071919493584045755,-0.0009326395206780582,-0.004479938496842585,-0.0009349576987070432
7,-0.0006197600275828929,-0.00421702223157114,-0.0010049720859148178,-0.006762707803478779,-0.0006436834463418281,-0.004440006274237584,-0.0004930024359974906,-0.004477628567988584,-0.0009921034063455321,-0.005427636022124392,-0.0010201019581311244,-0.004215901617933191,-0.0009969260818909061,-0.006750141769962054,-0.0010008146739901701,-0.008410838617624117,-0.0009934330894404324,-0.004485315998861631,-0.0009974588134802564
8,-0.0005670242501130464,-0.0060436206060713255,-0.0012841420991803636,-0.009080666308935564,-0.0006093018350766,-0.006407651322101277,-0.00045024934184364167,-0.0064089996047445655,-0.001267776145574722,-0.006858364870769893,-0.0012976839072088976,-0.006086307646159236,-0.001274487307499632,-0.007851787514961081,-0.001277583755389387,-0.0098932891261677,-0.0012696109151928677,-0.005928241143600055,-0.0012811295483462206
9,-0.0001713554233868498,-0.007328337068150829,-0.001182494510009627,-0.00776082041550018,-0.00023036395754681975,-0.007689524937615202,-0.0002100684400157569,-0.006997737276330932,-0.0011698816890691242,-0.0052112218773853235,-0.0011937510972000016,-0.009037970274086074,-0.0011755234608595315,-0.005111542520765037,-0.0011806978720778146,-0.006056724068358615,-0.001171064631930554,-0.006671202758452749,-0.0011776954350002009
10,0.00051089369515988,-0.008561163678615561,-0.0008362132510557863,-0.004853276263944034,0.0004324450111875083,-0.008893891546427578,-0.00010848908159542152,-0.005404230041589375,-0.0008280600842884256,-0.0027807830241473068,-0.0008476966144787715,-0.0074784314420362685,-0.0008313440655964405,-0.0021636404154193444,-0.0008374596876576774,-0.0021180892820630466,-0.0008286839142380132,-0.004776395129430699,-0.000827608353723632
