,DT9,DT1,DT8,DT7,DT5,DT6,DT2,DT3,DT4,SS1_TF1
0,-0.008351464333424746,-0.00820631227045976,-0.005523603008667418,-0.00911426011770073,-0.007301479030397889,-0.010739025381791941,-0.019407435618896605,-0.004285838688492247,-0.009204646655160747,-0.09542803546353626
1,-0.008897764240064499,-0.007551109360590101,-0.005890896546282319,-0.009365139370873205,-0.006896110580635998,-0.011067854059082737,-0.01733461078029827,-0.004287757419481707,-0.00942511604348024,-0.09400746690278353
2,-0.008904593711183942,-0.007557520118442916,-0.00589520221774477,-0.009375353781448801,-0.006900264599160717,-0.011083753662186314,-0.017354696488173796,-0.004287917313643762,-0.009436331058556017,-0.09408755710386145
3,-0.00858394695878599,-0.0076280384558195385,-0.005682005756646497,-0.009445971198215771,-0.006945958803455629,-0.01125659517845614,-0.017575639277288623,-0.004289676149685891,-0.009559696254410338,-0.09425655245516215
4,-0.008571893577272702,-0.007615216940128218,-0.005674451447030751,-0.00942571171701169,-0.006937650766403809,-0.011224804305527145,-0.017535467861584685,-0.004289356361355278,-0.009537266219449756,-0.0940992595993389
5,-0.00852367989147096,-0.012588281556859903,-0.005644234094725159,-0.012751794030294,-0.013420809848579992,-0.013211003905618217,-0.029652196024804532,-0.011025433779454459,-0.013690800359124528,-0.1342151779914199
6,-0.00949737133403327,-0.03273779163806468,-0.006393483036269317,-0.028159013845295768,-0.03801206466451603,-0.0265926549763937,-0.08217421683967112,-0.03651693893752601,-0.032811831725913614,-0.310694522324053
7,-0.014887447600656842,-0.033588840114619475,-0.010054038529089175,-0.028679580738133502,-0.04125290587372645,-0.022904543788392358,-0.08664160124590985,-0.04348023340847271,-0.03227006075710543,-0.33233355489572364
8,-0.023246421278297538,-0.045842824137207465,-0.015997608460950954,-0.04328895370315111,-0.0521432999914427,-0.03492842238213419,-0.09892473378821527,-0.05064702659853019,-0.04331760920755547,-0.4306074383995512
9,-0.03066693608332583,-0.03851997195832407,-0.020890100375054392,-0.04939661266680201,-0.03746957934517171,-0.057957441537359586,-0.059129132177869546,-0.02818285255335793,-0.051360526450098865,-0.3946900138876569
10,-0.039093107675747356,-0.023056004742495535,-0.026373485065017042,-0.038446123225584744,-0.017583925572524174,-0.048903807346820496,-0.019644789738073345,-0.006381029683367859,-0.03668415225096223,-0.27444868972760644
11,-0.044455106338160376,-0.022991897158585895,-0.029978421331899704,-0.039026466733863945,-0.01754238538526585,-0.048876367307830675,-0.01944393264369156,-0.006379430741387982,-0.0365720020686819,-0.28425658068209364
12,-0.04406975055088088,-0.023443316540985925,-0.0295450650693484,-0.04288208236844975,-0.02044186061134931,-0.05316626824816387,-0.033272911178121325,-0.012195528992550577,-0.04190957814841296,-0.3207193728455659
13,-0.043839562146507964,-0.03769740910813591,-0.029505351284960773,-0.05048298950279087,-0.03593264867235404,-0.05899877485728133,-0.05736294072322528,-0.025921968839089468,-0.05129784931866375,-0.4136017878377575
14,-0.041113971967253755,-0.021756869745391753,-0.027783192275450237,-0.032640792181276204,-0.0167701159022027,-0.037524905428848725,-0.028024176951937794,-0.006375273492245124,-0.02856421172612005,-0.25826494678123335
15,-0.04022157457005463,-0.018097154283475865,-0.02719333918087461,-0.04006282935752155,-0.014497140091343187,-0.0516760472881686,-0.023011986628372637,-0.006377671905209097,-0.0385655806759418,-0.27825397070963365
16,-0.0400126032651313,-0.016917500794849733,-0.02698331639911222,-0.03837377798544095,-0.013764172685707683,-0.04862450510481979,-0.019283246968172338,-0.006378151587808976,-0.03648228192285609,-0.2649905072524608
17,-0.04101256666048834,-0.03618524899135222,-0.02763841044533244,-0.052056182556635335,-0.03910471558770404,-0.057220754690777725,-0.06796702917276665,-0.032909214428691824,-0.05338075306291381,-0.43035269774751794
18,-0.03949592217568017,-0.035693903281255344,-0.026638822057724627,-0.05270388521089873,-0.043252251937331385,-0.05306478836241895,-0.08414139468245076,-0.04175247565778895,-0.05405989060136477,-0.45444946776736517
19,-0.036247014508719866,-0.03525134185754507,-0.024388667361782513,-0.0416835510349413,-0.042978929281660985,-0.0330256575004508,-0.08436233748627887,-0.0417542344939691,-0.04002246607083038,-0.4010124514427832
20,-0.03140397148572386,-0.060812648883901,-0.021195646913748332,-0.05867609854812015,-0.0761823155389691,-0.043986125150410366,-0.15092384828268327,-0.07953996168952845,-0.06181724633972068,-0.6169581807762355
21,-0.0280457581944078,-0.06545509549072334,-0.018616383047706003,-0.056359693285933155,-0.08218258886141665,-0.04598651856554647,-0.16307338273408464,-0.08645245516103417,-0.06576697246312634,-0.6464416720118282
22,-0.012463425791837705,-0.047760790945379765,-0.008356299676290951,-0.0440932293989422,-0.05780390405582408,-0.04286727482865557,-0.11841472554274401,-0.05714693334962624,-0.052775290620285895,-0.4657222732684176
23,-0.009728255346399593,-0.0230085891636917,-0.006447508551684782,-0.02551722059539999,-0.027101973275797372,-0.027976379934398655,-0.054938253311250934,-0.025335906386801502,-0.02995989604903301,-0.2458489391290416
