,Load1,Load2,Load3,Load4,Load5,Load6,Load7,Load8,Load9
0,0.0083514659344477,0.0082063124998542,0.0055236041437676,0.0091142606369949,0.0073014791333101,0.0107390257437952,0.0194074361779876,0.0042858387342925,0.0092046468347264
1,0.0088977662094863,0.0075511095390545,0.0058908979356978,0.0093651399370519,0.0068961106684503,0.0110678544550218,0.0173346111836856,0.0042877574646672,0.0094251162318364
2,0.0089045956859986,0.0075575202974452,0.0058952036107086,0.0093753543497999,0.006900264687176,0.0110837540600548,0.0173546968931246,0.0042879173588651,0.0094363312476426
3,0.0085839487093578,0.0076280386397433,0.0056820069962601,0.0094459717804979,0.0069459588931583,0.0112565955945296,0.0175756396969539,0.0042896761950419,0.0095596964505696
4,0.0085718953190848,0.0076152171229619,0.005674452680882,0.009425712294916,0.0069376508557069,0.0112248047176308,0.0175354682780759,0.0042893564066461,0.009537266414114
5,0.0085236817579926,0.0125882825858525,0.0056442354193697,0.0127517957695263,0.0134208105629089,0.0132110047332747,0.0296521985121832,0.0110254346218314,0.0136908010829229
6,0.0094973748882561,0.0327378284139029,0.0063934856365784,0.0281590487433176,0.0380120959320733,0.0265926676887054,0.082174326094779,0.0365170039108426,0.0328118511418447
7,0.0148874637119356,0.0335888818565716,0.0100540499980554,0.0286796190319935,0.0412529481864369,0.0229045524391856,0.0866417372313562,0.043480354272974,0.0322700804575281
8,0.0232465039368001,0.0458429609105322,0.0159976689615664,0.0432891346285424,0.0521434061842325,0.0349284616873136,0.0989249815149082,0.0506472591094509,0.0433176678161957
9,0.0306671525459025,0.0385200453160635,0.0208902525094755,0.0493969003364518,0.0374696149340884,0.0579576347904154,0.0591291788459399,0.0281828851992448,0.0513606138898243
10,0.0390931076759296,0.0230560047424944,0.0263734850651355,0.0384461232255897,0.0175839255725235,0.0489038073468235,0.0196447897380754,0.0063810296833674,0.0366841522509591
11,0.0444551063386338,0.022991897158587,0.0299784213322064,0.0390264667338724,0.0175423853852669,0.0488763673078357,0.0194439326436851,0.0063794307413885,0.0365720020686815
12,0.0440697505513468,0.0234433165409842,0.0295450650696434,0.0428820823684685,0.0204418606113483,0.0531662682481699,0.033272911178112,0.0121955289925499,0.0419095781484143
13,0.0438395621470364,0.0376974091081361,0.0295053512853024,0.0504829895028483,0.0359326486723558,0.0589987748572951,0.0573629407232262,0.0259219688390883,0.051297849318667
14,0.0411139719675033,0.0217568697453925,0.0277831922756152,0.032640792181281,0.0167701159022019,0.0375249054288505,0.0280241769519319,0.0063752734922432,0.0285642117261216
15,0.0402215745702801,0.0180971542834761,0.0271933391810221,0.040062829357527,0.0144971400913397,0.0516760472881723,0.0230119866283718,0.0063776719052116,0.0385655806759459
16,0.0400126032653421,0.0169175007948459,0.026983316399251,0.0383737779854436,0.0137641726857086,0.0486245051048252,0.0192832469681729,0.0063781515878053,0.0364822819228595
17,0.0410125666608232,0.0361852489913538,0.0276384104455519,0.0520561825567041,0.0391047155877033,0.0572207546907915,0.0679670291727635,0.0329092144286952,0.053380753062919
18,0.03949592217595,0.0356939032812582,0.0266388220579017,0.0527038852109807,0.0432522519373271,0.0530647883624259,0.0841413946824563,0.0417524756577974,0.0540598906013667
19,0.036247014508848,0.0352513418575485,0.0243886673618659,0.041683551034953,0.0429789292816637,0.0330256575004509,0.0843623374862856,0.0417542344939743,0.0400224660708317
20,0.0314039714858055,0.0608126488839615,0.0211956469138016,0.0586760985483426,0.0761823155390344,0.043986125150417,0.1509238482828962,0.079539961690022,0.0618172463397414
21,0.02804575819445,0.0654550954908254,0.0186163830477319,0.0563596932861137,0.0821825888615274,0.0459865185655564,0.1630733827344637,0.0864524551619445,0.0657669724631577
22,0.0124634361098169,0.0477609552626029,0.0083563069577235,0.0440934267090264,0.0578040629412998,0.0428673518805803,0.1184151970292537,0.0571473021976523,0.0527754063060745
23,0.0097282588903785,0.023008599251508,0.0064475110341542,0.0255172434954216,0.027101982510023,0.0279763926218261,0.0549382789425637,0.0253359232625486,0.0299599079134412
