,G1,Solar_DT1
0,0.07851609343405257,-0.0
1,0.14981980754242213,-0.0
2,0.15001700317697841,-0.0
3,0.15161765758745283,-0.0
4,0.15200601138912562,-0.0
5,0.2569686406302085,-0.0
6,0.5935502728910946,-0.0
7,0.6168903912837072,0.0015828833219915764
8,0.7842540117968158,0.04590361633775572
9,1.0554870448376676,0.09768651358576586
10,0.6848937952320628,0.13431895618042805
11,0.7341058274729291,0.1573838274437339
12,0.7565789196764496,0.16846401069767492
13,1.06944959409294,0.16846401069767492
14,0.6157895058787896,0.15376580842203885
15,0.683920018211694,0.1334144514250043
16,0.6585381611058301,0.10130453260746089
17,1.06944959409294,0.052009023436866086
18,1.06944959409294,0.004070271399406911
19,0.7528845541822169,-0.0
20,0.7794584283959688,-0.0
21,0.7500226871800739,-0.0
22,0.6318171340357078,-0.0
23,0.3985118710875962,-0.0
