,Battery1_DT8_415,Battery2_DT6_415
0,0.0,5.714285714285715e-07
1,0.0,8.653190907065072e-08
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,-0.020705250805067875,0.0
6,-0.18787748883277772,0.0
7,-0.1792168397208022,0.0
8,-0.146306897655227,0.0
9,-0.1130601530310889,0.0
10,-0.07226920542738932,0.0
11,-0.051550018016491006,0.0
12,-0.060351091664428425,0.0
13,0.2671899301568801,5.714285714285715e-07
14,-0.0697558560464914,0.0
15,-0.09807970290720601,0.0
16,-0.1107910891223746,0.0
17,0.17172346498285967,5.714285714285715e-07
18,0.2671899301568801,5.714285714285715e-07
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
