,Battery1_DT8_415,Battery2_DT6_415
0,3e-06,2.285714285714286e-06
1,2.9970000000000003e-06,2.175263685090258e-06
2,2.9940030000000003e-06,2.173088421405168e-06
3,2.991008997e-06,2.1709153329837627e-06
4,2.9880179880030002e-06,2.168744417650779e-06
5,0.016567185674024317,2.1665756732331283e-06
6,0.16685260955457248,2.1644090975598954e-06
7,0.3100592287216597,2.1622446884623357e-06
8,0.42679468761711964,2.1600824437738733e-06
9,0.5168160153543736,2.1579223613300996e-06
10,0.5741145636809307,2.1557644389687695e-06
11,0.6147804635304426,2.153608674529801e-06
12,0.6624465563984548,2.151455065855271e-06
13,0.3277966971459563,1.4350178965037014e-06
14,0.38327358528600347,1.4335828786071978e-06
15,0.46135407402648226,1.4321492957285906e-06
16,0.5495255912503555,1.430717146432862e-06
17,0.33432173443053065,7.15000715000715e-07
18,-0.0,-0.0
19,-0.0,-0.0
20,-0.0,-0.0
21,-0.0,-0.0
22,-0.0,-0.0
23,-0.0,-0.0
