,Load1,Load2,Load3,Load4,Load5,Load6,Load7,Load8,Load9
0,0.0055249459154216,0.0044675347531069,0.0037521171876113,0.0033940835709108,0.0048980276614084,0.0014543797445183,0.0076733849435122,0.0042108483554802,0.0026520342591442
1,0.0077572436319271,0.0069706823276883,0.0051718502089165,0.0083083070084896,0.0065071614826816,0.0096376123186162,0.015529444831839,0.0042610551336189,0.0084177295008866
2,0.0077640731084394,0.0069786541352506,0.0051761558839271,0.0083205882154506,0.0065122861126856,0.0096574131721063,0.0155544641308464,0.0042612150278168,0.0084317009536177
3,0.0075895440118326,0.0070822876335613,0.0050587759775697,0.0084524729562365,0.0065789063027383,0.0099134576232015,0.0158797150179427,0.0042632936523894,0.0086133298778675
4,0.0076015974021056,0.0070982312486861,0.0050663302929478,0.0084768660355717,0.0065891555627464,0.0099530509970143,0.0159297536159575,0.0042636134407852,0.0086412727881728
5,0.0077494388637634,0.0121385263938274,0.0051786155713625,0.0119457847378178,0.0131157966797618,0.0121284507750543,0.0282572081235919,0.0110012905979494,0.0129124705131091
6,0.0086338502595355,0.021706043144109,0.0058712001244294,0.0195836637343633,0.02457522471461,0.0192284318244568,0.0526440233742799,0.0219475775918234,0.022286281882948
7,0.0151151299364193,0.0208075596697026,0.0100657439316035,0.0182624212406779,0.0278261656627347,0.0113154154566205,0.0565901295270213,0.033467311912527,0.0192917237697169
8,0.0386524615168219,0.0314696613896509,0.0260047563428946,0.0351238883609987,0.037324756490026,0.0238387319086283,0.0681252123626973,0.0411404069774149,0.029524149831526
9,0.0636648029520795,0.0407927590047443,0.0421068896782638,0.0651470710678921,0.044742188074283,0.0663175358473937,0.0748352067199816,0.0459349726699342,0.0602084877551143
10,0.0939397157248766,0.0204596475942434,0.0618628472800181,0.0542831439704545,0.0159015479886316,0.0566706512800197,0.0115100774152683,0.0063162725332203,0.0408173665998207
11,0.1094210760155756,0.0204596475942434,0.0718976077373943,0.0622969868797509,0.0159015479886316,0.0636282257626802,0.0115100774152683,0.0063162725332203,0.0453698909534679
12,0.1033054843024009,0.0158642375160852,0.0676350532233923,0.0715093376677608,0.0130442665321534,0.0754603651586489,0.0115100774152683,0.0063162725332203,0.0541442770110623
13,0.102202803157359,0.0502658239411878,0.0674766051150485,0.095254652416213,0.0589468260937069,0.0931793085000368,0.1087066312758058,0.0682877656342209,0.0846347726665726
14,0.0951575072494656,0.0165111641775735,0.0630801179423675,0.053395376850029,0.0134465051837936,0.0462436359421513,0.0115100774152683,0.0063162725332203,0.0332676892922599
15,0.0739510833256464,0.0144365372976283,0.0493622528136812,0.060791250955248,0.0121565674388786,0.0696031466102861,0.0115100774152683,0.0063162725332203,0.0502237941472288
16,0.0645786513181133,0.0144365372976283,0.0432058474865439,0.0535014054375625,0.0121565674388786,0.0628392911558908,0.0115100774152683,0.0063162725332203,0.0458053892007518
17,0.0557209330077755,0.0521520823710996,0.0374670281954439,0.0776977909118535,0.0630700698765951,0.078281703633878,0.1158494128523338,0.0673698173810069,0.0787081066666337
18,0.0479942555078084,0.0547575035174923,0.0325415683974884,0.0770763874844746,0.0707454686619135,0.0706837042979574,0.1380077662899798,0.0789675653388634,0.0785614474650712
19,0.0373806644899274,0.0325716448502178,0.0252300258890768,0.0416355922292863,0.0412425494543383,0.0306257598689593,0.0759665109407711,0.0416873987192546,0.0382984855396076
20,0.0287928860958902,0.0364977757569625,0.0195563349061086,0.041891395226149,0.0464400257498298,0.0306396970741697,0.085941911367337,0.0471615015813789,0.0405874189165139
21,0.0243021229822049,0.0364977757569625,0.016185963353238,0.0355037513058258,0.0464400257498298,0.0306245798365407,0.085941911367337,0.0471615015813789,0.0405949345978775
22,0.0065929208189687,0.0339855999919543,0.0045758275401251,0.0305129397918627,0.0431818298213261,0.026897254335088,0.0798032034125272,0.0437928228969947,0.0366606056199464
23,0.005635904346959,0.0201686332844087,0.0038376974839764,0.0208797360115874,0.0252617522145561,0.0209273301928614,0.0460403096610733,0.0252650901328816,0.0249916548797113
