,Battery1_DT8_415
0,-0.0
1,-0.0
2,-0.0
3,-0.0
4,-0.0
5,0.020705250805067875
6,0.18787748883277772
7,0.1792168397208022
8,0.146306897655227
9,0.1130601530310889
10,0.07226920542738932
11,0.051550018016491006
12,0.060351091664428425
13,-0.0
14,0.0697558560464914
15,0.09807970290720601
16,0.1107910891223746
17,-0.0
18,-0.0
19,-0.0
20,-0.0
21,-0.0
22,-0.0
23,-0.0
