,Load1,Load2,Load3,Load4,Load5,Load6,Load7,Load8,Load9
0,0.0114075856960346,0.0092243048757865,0.0077471524634779,0.0070079055591467,0.0101131614941429,0.0030029183677364,0.0158435571427846,0.0086943137912113,0.0054757654723031
1,0.0160167036656817,0.0143926578160666,0.0106785343003248,0.0171545071461713,0.0134356070426729,0.0198991791255179,0.0320642908442888,0.008797977814879,0.0173804363187282
2,0.016030804769976,0.0144091175388063,0.0106874244066562,0.0171798646651412,0.0134461880794517,0.01994006277153,0.0321159492318732,0.0087983079550818,0.017409283758462
3,0.0156704472829577,0.014623093934423,0.0104450652304283,0.0174521725764847,0.0135837415575755,0.0204687284023935,0.0327875082704705,0.0088025997777177,0.0177843005550019
4,0.0156953344193337,0.0146560133799025,0.0104606629396855,0.0175025379822581,0.013604903631133,0.0205504784885806,0.0328908250456393,0.0088032600581233,0.0178419954444696
5,0.0160005888361381,0.0250629204667239,0.0106925030256389,0.0246649587505762,0.0270807310852618,0.0250421169174488,0.0583438332492635,0.022714822404467,0.0266609150896224
6,0.0178266698407789,0.0448173703559867,0.0121225111672223,0.0404352052874395,0.050741488916426,0.0397017431836905,0.1086963053067849,0.0453160765791835,0.0460154134208046
7,0.0312088376422129,0.042962234145123,0.0207831602791978,0.0377071809406512,0.0574538419468811,0.0233634090692782,0.1168439948574458,0.0691013513077866,0.0398324246963199
8,0.0798073454230682,0.0649767191612837,0.053693102344773,0.072521753622536,0.0770659776152941,0.049220821578254,0.1406609603034847,0.0849443099261151,0.0609597405045357
9,0.1314513674187843,0.0842265066931056,0.0869398469689111,0.134511868067023,0.0923810572083271,0.1369285753942541,0.1545153648211781,0.0948438491885745,0.1243149696321867
10,0.1939612394035307,0.042243885608098,0.1277307945726107,0.1120806657970487,0.0328325877134089,0.1170102514709559,0.0237653357141769,0.013041470686817,0.0842773150184548
11,0.2259262480951783,0.042243885608098,0.148449981983509,0.1286271806664855,0.0328325877134089,0.1313758449740436,0.0237653357141769,0.013041470686817,0.0936771014584548
12,0.213299131446802,0.0327555512284464,0.1396489083355716,0.1476483046168245,0.0269330398134947,0.1558061554591082,0.0237653357141769,0.013041470686817,0.1117939414084548
13,0.2110223798097668,0.1037859379926845,0.1393217539340668,0.1966762438978571,0.1217099643086534,0.1923911949697868,0.22445110431662,0.1409965908062015,0.1747489363404294
14,0.1964756642303652,0.0340912876216983,0.1302441439535086,0.1102476560881016,0.0277635586926089,0.0954811590886057,0.0237653357141769,0.013041470686817,0.0686891821784548
15,0.1526898784650861,0.0298077191881662,0.101920297092794,0.1255182250572695,0.0251001705630359,0.1437125126336919,0.0237653357141769,0.013041470686817,0.1036991573284548
16,0.1333382281606449,0.0298077191881662,0.0892089108776254,0.1104665777240838,0.0251001705630359,0.1297468988679115,0.0237653357141769,0.013041470686817,0.0945762928084548
17,0.1150493286413811,0.1076805742503943,0.0773597319246612,0.1604258614994791,0.1302233972940602,0.1616314903902355,0.2391991026119267,0.1391012648567049,0.1625119024723942
18,0.0990957361400561,0.1130600956894683,0.0671899301568801,0.1591428239895827,0.1460711124998075,0.1459435850478513,0.2849503768492743,0.163047617587682,0.1622090891171961
19,0.0771814131887335,0.0672520302601563,0.0520934841442426,0.0859667395177546,0.0851552077478397,0.0632342805811282,0.1568512157135677,0.0860737065329927,0.0790764764958016
20,0.0594498698454614,0.0753584760893409,0.0403787783187307,0.0864949066080185,0.095886653295285,0.0632630573085813,0.1774478399991877,0.0973763144615675,0.0838025324697958
21,0.0501776044071767,0.0753584760893409,0.0334198319497662,0.0733060724488556,0.095886653295285,0.0632318441190985,0.1774478399991877,0.0973763144615675,0.0838180504097958
22,0.0136126779123079,0.07017148226867,0.0094479014986465,0.0630013362740862,0.0891593206049993,0.0555358800814863,0.16477299428496,0.0904208634285984,0.0756946776819532
23,0.011636686186037,0.0416430162549799,0.007923853661937,0.0431112596410973,0.0521589908084282,0.0432095293273218,0.0950613428567076,0.0521658827472683,0.0516013096038191
