,G1,Solar_DT1
0,0.21382854107618954,0.0
1,0.21014021376508651,0.0
2,0.21029540179650752,0.0
3,0.21109054217706102,0.0
4,0.2107838639638473,0.0
5,0.2930331880549417,0.0
6,0.6497037266991725,0.0
7,0.6853999535115491,0.00021
8,0.8646530823324028,0.00609
9,0.7752069525629253,0.01296
10,0.5146237258952766,0.01782
11,0.5231570477666665,0.02088
12,0.5967371173885851,0.02235
13,0.7845758820764246,0.02235
14,0.4765015543973732,0.0204
15,0.5204930449142608,0.0176999999999999
16,0.49840103363623456,0.01344
17,0.8382715644886005,0.0069
18,0.8954436789111924,0.0005399999999999
19,0.7936846910942279,0.0
20,1.229692679844554,0.0
21,1.2927035602947186,0.0
22,0.9564910714510262,0.0
23,0.5186894859798343,0.0
