,L1,L2,L3,L4,L5,L6,L7,L8,L9
0,-0.20323844182487805,-0.10300334396035371,-0.01384079640399536,-0.044070224444063465,-0.020068215147193022,-0.07826182779088461,-0.0238044367835939,-0.02720779905887741,-0.022229186202053317
1,-0.19955343434610762,-0.09834110384730003,-0.013844942815741435,-0.04368865884048743,-0.019230918399835113,-0.08059400155330589,-0.024322746192781977,-0.028336666947303097,-0.023358332151200038
2,-0.19970848387907317,-0.09841469503394273,-0.013845267343095049,-0.04372040448644088,-0.0192394936614858,-0.08066216885758165,-0.02434384078605515,-0.02835076672738024,-0.023372442087879697
3,-0.20050291344662594,-0.09922431238709528,-0.013848864197346902,-0.04406966279338211,-0.01933384882616135,-0.08050104709137308,-0.024489700808954153,-0.027688196150490115,-0.022709695281943904
4,-0.20019650993132862,-0.09907712759477955,-0.013848215033284981,-0.04400617060779447,-0.019316698114344687,-0.08036840991136372,-0.02444786088291155,-0.027663315828643762,-0.022684795596817974
5,-0.2823568359314782,-0.160035781334882,-0.02776719175208624,-0.06598356233465659,-0.03271119920852497,-0.09126035160136366,-0.03131771350728259,-0.02755837755712326,-0.022582492607153844
6,-0.6382836348609617,-0.41222659895776637,-0.08058339418224318,-0.15644157289831417,-0.0836007510834394,-0.15299137962513143,-0.06318176509692645,-0.029546630016592235,-0.024583227377406015
7,-0.673873100393054,-0.4415812544272386,-0.09505340178014772,-0.16203738928653943,-0.09031811339688701,-0.15741729747372554,-0.06425880724128126,-0.04048145313617813,-0.03573140160763417
8,-0.8524979887923669,-0.5275561389966928,-0.1099599139191749,-0.20752735676732295,-0.11290605812495956,-0.22441710958753805,-0.09454268106707966,-0.05191329327854443,-0.05304516275042533
9,-0.7633774148665952,-0.38448231773204405,-0.06328253721807274,-0.1937745566572166,-0.08247179434845263,-0.29372531756323444,-0.10722566218456062,-0.06046520208381544,-0.06845115757559728
10,-0.5035453555992488,-0.18594637244149456,-0.018159074886348665,-0.1221727744875778,-0.04131093614793792,-0.26472521188274334,-0.08450360031647684,-0.07316317092358375,-0.08598179036767174
11,-0.512057288655474,-0.18520813797609043,-0.018155490790985194,-0.12185388827595002,-0.041224752432884745,-0.2740973667559618,-0.08570696138805749,-0.08128747628506103,-0.09715074628513838
12,-0.5854519704353361,-0.24290216110130644,-0.030176621250623672,-0.13891145969248972,-0.04721904347408843,-0.2888068845219596,-0.09370413586395304,-0.07901465930096804,-0.09634604490742021
13,-0.7727063767310292,-0.3728098138287801,-0.058594042251242505,-0.1904575808938548,-0.07928624528822313,-0.3164181724290498,-0.1094814769878611,-0.07852300500083667,-0.09586076865671236
14,-0.4655066050504726,-0.18474940804066872,-0.018148307352281078,-0.10367077323393098,-0.03962950362945434,-0.23061048857609395,-0.07246976940781287,-0.07480506807420402,-0.09019191232130472
15,-0.5094010795661775,-0.19041410041574153,-0.018151890629010386,-0.11968785395346046,-0.03492738948231528,-0.2763689806406827,-0.08785668550482223,-0.07563231399048896,-0.08833045872914959
16,-0.48736123795721487,-0.17687144037750047,-0.018153802565767516,-0.1138561490366616,-0.03341304567042413,-0.2703293899734413,-0.084353968515488,-0.0794458787021364,-0.08789421603872832
17,-0.8262169616826613,-0.4202035879898635,-0.07308680506664426,-0.20135444553940968,-0.08585874751070605,-0.32560840355711673,-0.11274890450079708,-0.08803310781342347,-0.0899632843682025
18,-0.8831707502187958,-0.48216650071313777,-0.09145442527701628,-0.21136269687899112,-0.09445621066241218,-0.3215383459810536,-0.11409355363799707,-0.09122149399050897,-0.08680117345987584
19,-0.7817990381582264,-0.45291194721387146,-0.09146129854711277,-0.1816770789541928,-0.09389355604833358,-0.2504678722710151,-0.09121230700932813,-0.08500552919951417,-0.08004427142240782
20,-1.215810296093365,-0.7847014913357124,-0.17025908719080246,-0.29590670937627017,-0.16286292223671606,-0.2987805673668534,-0.12650227373406223,-0.07490657960916251,-0.06996298207997162
21,-1.278458802154897,-0.845296337495816,-0.1847327449140388,-0.3166148977664111,-0.17535440662345847,-0.290996932156344,-0.12168313826914698,-0.06792664735919698,-0.06298659122456658
22,-0.9439631517716516,-0.6130632567350494,-0.12349767642200163,-0.2389059267186831,-0.1246568896440826,-0.22622838786954824,-0.09620950040675631,-0.035657344429521606,-0.03070610149795552
23,-0.5076104013998641,-0.3040037192398477,-0.05738816008701782,-0.1279379836916805,-0.06100532513129978,-0.15084128236653077,-0.0577152624752655,-0.030031673865550734,-0.025064455761791758
