,DT9,DT1,DT8,DT7,DT5,DT6,DT2,DT3,DT4,SS1_TF1
0,-0.017243615588393425,-0.016943914394672962,1.8632423046402584e-10,-0.018818591089421487,-0.01507566739948981,-0.022173312508705495,-0.040071339803924785,-0.008849149372235394,-0.01900521679231106,-0.2033228979222523
1,-0.01837158382550441,-0.015591089665555113,2.0188699370377225e-10,-0.019336591873283567,-0.014238686306079027,-0.022852258781496666,-0.03579149206737125,-0.008853111060748549,-0.01946042912336528,-0.19963480409437925
2,-0.01838568491853095,-0.015604326224025985,2.0225961598277135e-10,-0.019357681988279505,-0.014247263280586182,-0.022885087353977877,-0.03583296386414009,-0.008853441200675225,-0.01948358523129877,-0.19978998238195006
3,-0.01772363217395196,-0.015749928370501997,1.9268159561597322e-10,-0.019503488688763386,-0.014341610003265776,-0.023241960431562684,-0.03628915363582841,-0.008857072741791008,-0.019738302482841672,-0.20058507276346438
4,-0.01769874505640561,-0.015723455253582944,1.9201287638633928e-10,-0.01946165810200305,-0.014324456054254961,-0.023176320492588366,-0.03620621004240775,-0.008856412461929107,-0.01969199025703692,-0.20027841387403508
5,-0.017599195601463925,-0.025991548885493074,2.690034085881469e-10,-0.026329156640365815,-0.02771050393267531,-0.02727730927663725,-0.06122412302943019,-0.022764671675521066,-0.02826796463862309,-0.2825215103576158
6,-0.019609608817010637,-0.06759509158597843,1.137037518604889e-09,-0.05814102777344728,-0.0784850756289021,-0.05490695549540697,-0.16966854417224456,-0.07539805666497028,-0.06774793868174238,-0.6391406386111688
7,-0.030738717954324455,-0.06935228723193736,0.0002100016331628074,-0.05921585589390682,-0.08517657196239245,-0.04729195632352259,-0.1788925428562007,-0.08977548568122452,-0.0666293173839936,-0.6748295144570934
8,-0.047997832283909886,-0.09465363562596125,0.0060899944229677915,-0.08938024620100193,-0.10766239486755395,-0.07211814850092775,-0.2042540300441944,-0.10457308445620714,-0.08943962249496891,-0.8540394376086368
9,-0.06331935656473564,-0.07953381091741109,0.012959980880354103,-0.10199090673702556,-0.07736496773143102,-0.11966721285129275,-0.12208635233425043,-0.05819029681768757,-0.10604620221805058,-0.7646156708600828
10,-0.08071647775999957,-0.04760466999983911,0.017819971547270705,-0.0793809714860115,-0.036306250635209945,-0.10097357859366984,-0.040561406448865765,-0.013175174611045178,-0.07574324772053155,-0.5040841654158114
11,-0.0917883076045023,-0.047472326637424,0.020879999999995492,-0.08057956955511583,-0.03622049295300994,-0.10091706907368427,-0.04014669669102822,-0.013171876066907813,-0.07551173424332071,-0.5126160073265974
12,-0.09099264747782299,-0.04840439101748814,0.022349999999994628,-0.08854041956809927,-0.042207160084489256,-0.10977460602581135,-0.06869996402343034,-0.02518061610388913,-0.08653244964411723,-0.5861832900423302
13,-0.0905173679024348,-0.07783540898005226,0.02234999999999267,-0.10423432876282988,-0.07419163468573181,-0.12181722508213447,-0.11843965028692806,-0.053522167541302616,-0.1059168037268042,-0.773981842602115
14,-0.0848889529838325,-0.044922296914158576,0.020399967247285967,-0.0673946118222892,-0.03462594676392131,-0.0774791691199797,-0.05786267181391356,-0.013163290044022162,-0.05897769257352831,-0.46596775256539763
15,-0.08304638843045127,-0.03736593419082459,0.017699969162876018,-0.08271899779942113,-0.02993283903253457,-0.10669750811595159,-0.047513795259526787,-0.013168241527365262,-0.07962790409444459,-0.5099525457487596
16,-0.0826149210549045,-0.03493025710038243,0.013439976926321448,-0.07923160284956685,-0.028419452281004922,-0.100396896265158,-0.039814914728592644,-0.013169232257345375,-0.07532644047478063,-0.48786414363167996
17,-0.08468035270542368,-0.07471318907376175,0.0068999999999980665,-0.10748256591352141,-0.08074113321916991,-0.11814607287012012,-0.14033435289003857,-0.06794902421336141,-0.11021746174642771,-0.8276648299567531
18,-0.08154887373778397,-0.07369868714376863,0.0005400000000004671,-0.10881990453134084,-0.08930472407780164,-0.10956507628365314,-0.17373023828970358,-0.08620807359550492,-0.11161970527746355,-0.8848219581968445
19,-0.07483999644571526,-0.07278480870251484,7.616484394821832e-09,-0.0860652253914261,-0.08874023802009047,-0.06818936878543572,-0.17418613878918462,-0.0862114861882026,-0.08263593274762734,-0.7830895729971125
20,-0.06484108648367301,-0.1255624062508373,1.3205736463235045e-15,-0.12115098188144999,-0.1572967964459481,-0.0908199826335216,-0.3116187487111085,-0.1642294681476418,-0.1276366404139224,-1.2189605532944343
21,-0.05790724378313643,-0.13514785890818368,1.0990980803310762e-15,-0.11636820356294701,-0.1696858104151655,-0.09495027814378777,-0.33670439797234397,-0.17850198101166126,-0.13579180426859677,-1.2819465980313127
22,-0.025733720396988305,-0.09861373770622196,3.130134002107254e-09,-0.09104081146085886,-0.11935004733699378,-0.08850982317681397,-0.24449586938701742,-0.1179937444286485,-0.10896726383410757,-0.9458518310932282
23,-0.02008632834838575,-0.047506793225533576,7.682260592001923e-10,-0.05268643265218515,-0.05595856560181297,-0.05776399615689493,-0.11343329773517911,-0.052312101552149715,-0.06185943908583602,-0.5081499080152261
