,DT9_11,DT9_415,DT1_11,DT1_415,DT8_11,DT8_415,DT7_11,DT7_415,DT5_11,DT5_415,DT6_11,DT6_415,DT2_11,DT2_415,DT3_11,DT3_415,DT4_11,DT4_415,SS1_11
0,-0.0002842230915493471,-0.0024241698506760776,-0.0003052339447048006,-0.0018810135883195718,-0.00029417427873187256,-0.0007669543875056471,-0.00020760059986527326,-0.0015901427378433195,-0.00029903511688664697,-0.0011783629179179648,-0.00032144911931651545,-0.0019133003827621988,-0.00030098110787094825,-0.001614539123866504,-0.00030713253349339833,-0.0012428854037622788,-0.0002995144294883125,-0.001376216518566154,-0.000290662053393681
1,-0.000266405712379558,-0.002526202180604818,-0.0002999603267293739,-0.0017686443669061261,-0.00027749738760432795,-0.0007502774932249876,-0.00019713849239692398,-0.0016126289234698655,-0.00029378735196585414,-0.0011310372676198092,-0.00031615551933308645,-0.001951002642033987,-0.0002957277920070345,-0.0014737005998492652,-0.0003018791917377259,-0.0012379197074631155,-0.000294262975886682,-0.001393803828254092,-0.0002853707884992486
2,-0.00026646974836796246,-0.0025277675361071606,-0.00030018188195898783,-0.0017699145266924419,-0.00027757571989724355,-0.0007503558254423623,-0.00019714869283528818,-0.0016139828015390555,-0.00029400832366037515,-0.0011316900812699158,-0.00031637653377929024,-0.0019533052673702984,-0.0002959490450863416,-0.0014752363596402841,-0.00030210044239460687,-0.0012381678764683912,-0.0002944839846801166,-0.0013951898742181155,-0.0002855933976014722
3,-0.0002749650164727518,-0.0024659043694384274,-0.00030132004277046685,-0.0017825808514668998,-0.0002854012600162555,-0.0007581813675022362,-0.00019683308625412213,-0.0016229517072562877,-0.00029514003705669115,-0.001137568251540876,-0.0003175176800658948,-0.0019770626508183644,-0.00029708386599622174,-0.001490824949686229,-0.0003032352369924739,-0.001239594977818744,-0.00029561610687629347,-0.001409132414171089,-0.0002867341875608684
4,-0.00027480502725720033,-0.002463095193211202,-0.0003008822085269635,-0.0017800457601579085,-0.00028521606410197116,-0.0007579961717232871,-0.00019681448692760158,-0.0016202678917932234,-0.0002947033800241794,-0.0011362678980247633,-0.0003170808912422948,-0.0019724635395781064,-0.0002966466417542589,-0.0014877586153038437,-0.00030279801759567287,-0.0012391039360681397,-0.0002951793753151331,-0.0014063655189198846,-0.0002862942731081625
5,-0.0003931036262843937,-0.002571815820122772,-0.00041826419483530854,-0.002711673707317028,-0.0004034235340893917,-0.0008762036260891303,-0.00024516264895038285,-0.0021071223648866833,-0.00041149615615870686,-0.0019271663689351265,-0.0004343787816650655,-0.0023505833706294736,-0.00041371493156695626,-0.002398991573851676,-0.00041971830593470164,-0.0024585198070102145,-0.0004120494300806234,-0.0019555884229100874,-0.00040428022210964445
6,-0.0008756415168305749,-0.0032731977904670332,-0.0009244444120599045,-0.006539682766711413,-0.0008880459977905055,-0.0013608259120678728,-0.0004241669727417789,-0.004337484856225764,-0.0009124511548598501,-0.00500580287225246,-0.0009398053719842636,-0.004619867242352874,-0.0009169796030090828,-0.006371941546953104,-0.0009215201311740204,-0.007172483026986296,-0.0009136527431776372,-0.00446067927671801,-0.0009158768310388893
7,-0.0007970486210305564,-0.004385627602097113,-0.0009745840618277398,-0.006731622201197146,-0.0008208881625747094,-0.0012535672609686787,-0.00046275862179722186,-0.004446559676366678,-0.0009617170442985648,-0.005396703972772795,-0.000989725579286578,-0.004184876441141925,-0.0009665390042392524,-0.006719032543432306,-0.0009704281401861358,-0.008379542596603895,-0.0009630465187727597,-0.004454503674260638,-0.0009670566598922826
8,-0.0007531533781601669,-0.006204607590323844,-0.0012221857850889496,-0.00901701233335255,-0.0007951832266952332,-0.0001022355441494988,-0.00038400107567269275,-0.006340488564903467,-0.001205824262004002,-0.00679518366599942,-0.001231065656375803,-0.006017905331128117,-0.0012125333549490222,-0.007788366089066751,-0.0012156311037115994,-0.00982944922623311,-0.0012076584472977938,-0.005865270245276998,-0.0012238193228265068
9,-0.00033112845343193705,-0.007440627703621065,-0.0010897569174122543,-0.007666099570178676,-0.0003896609705851196,0.0016193743712292093,-0.00010776949937497483,-0.006891797286121517,-0.0010771480296824587,-0.005117262464433971,-0.0010908525366747856,-0.008930890611355859,-0.001082787555073718,-0.0050175916244965795,-0.0010879625433293293,-0.00596253810437746,-0.0010783305459662706,-0.00657678478288337,-0.0010950912079243774
