,DT9,DT1,DT8,DT7,DT5,DT6,DT2,DT3,DT4,SS1_TF1
0,-0.008351464716457842,-0.008206312279414494,-2.741872047111164e-11,-0.009114260132094642,-0.007301479034449723,-0.010739025402189493,-0.01940743564113317,-0.0042858386900685675,-0.00920464666213806,-0.08984431906776814
1,-0.008897764724151396,-0.007551109368485897,-3.033320960819489e-11,-0.009365139387503923,-0.006896110584453545,-0.011067854082806215,-0.017334610799070622,-0.004287757421193405,-0.009425116051432278,-0.08804960490848812
2,-0.008904594196647863,-0.007557520126364886,-3.040344827440459e-11,-0.009375353798145372,-0.006900264602981954,-0.011083753686013668,-0.017354696507028287,-0.0042879173153548165,-0.009436331066542987,-0.08812530046180252
3,-0.008583947382822431,-0.007628038463566744,-2.8605735435497243e-11,-0.009445971214693729,-0.0069459588071781085,-0.011256595202171704,-0.017575639295795704,-0.004289676151331371,-0.009559696262289528,-0.08851152304749296
4,-0.008571893999111378,-0.007615216947833015,-2.8483894690752797e-11,-0.009425711733361047,-0.006937650770109728,-0.011224804329030981,-0.01753546787996164,-0.0042893563629930595,-0.009537266227267976,-0.08836193708401849
5,-0.008523680310990732,-0.012588281583959547,-4.316297667588333e-11,-0.012751794069359628,-0.013420809866914,-0.013211003941855632,-0.02965219608879547,-0.011025433799931133,-0.013690800378194347,-0.12850635138687622
6,-0.009497371955610198,-0.032737792044692154,-2.2722927238485252e-10,-0.028159014285788715,-0.03801206500134176,-0.026592655258223057,-0.08217421794726947,-0.03651693952926445,-0.032811831953097434,-0.3042097200791019
7,-0.014887451256768271,-0.03358884085317957,-3.426782429520566e-10,-0.02867958148549369,-0.041252906573090206,-0.022904544109337045,-0.0866416033975891,-0.04348023497927441,-0.03227006112315093,-0.3220836658676263
8,-0.023246445338639225,-0.045842827418129034,1.6628721851013455e-09,-0.04328895823972768,-0.05214330251025014,-0.03492842432231899,-0.09892473979486929,-0.05064703119803281,-0.04331761074325339,-0.4141313507413739
9,-0.030667010463670742,-0.03851997496556659,7.255148515482148e-09,-0.04939662206339755,-0.037469580854786334,-0.05795745210566966,-0.059129134506541316,-0.028182853966841205,-0.051360529822418996,-0.3730285540995249
10,-0.03909281122412635,-0.023055994272260533,1.2304287102129199e-08,-0.0384460222814909,-0.01758392300323857,-0.048903721430872966,-0.01964478830521537,-0.006381029435157331,-0.03668413136177497,-0.2469405525928598
11,-0.04445510633852007,-0.022991897158589195,2.0777666175654522e-15,-0.039026466733865915,-0.017542385385264245,-0.04887636730783246,-0.01944393264368794,-0.006379430741390302,-0.03657200206868195,-0.25283397712249245
12,-0.044069750551231295,-0.02344331654098475,3.873047095794908e-15,-0.042882082368455116,-0.020441860611348887,-0.053166268248164686,-0.03327291117811639,-0.01219552899254877,-0.041909578148417066,-0.28975723438389467
13,-0.04383956214689985,-0.03769740910813142,2.548423784083236e-15,-0.050482989502805754,-0.035932648672353795,-0.058998774857284594,-0.05736294072322747,-0.025921968839087435,-0.05129784931866496,-0.3826453434200314
14,-0.04111362735624473,-0.021756861493033876,1.511363499916172e-08,-0.03264073759930797,-0.016770113828207096,-0.03752487166572959,-0.028024173629382455,-0.006375273250594249,-0.028564202578059257,-0.22924791116384052
15,-0.04022124273053711,-0.01809714928751233,1.3132466882040102e-08,-0.04006271151644629,-0.014497138566837807,-0.05167594244362392,-0.023011984449787488,-0.006377671656950611,-0.03856555607959546,-0.2498553405866536
16,-0.04001227336349849,-0.016917496863472995,8.70723348882171e-09,-0.03837367838692261,-0.013764171425022037,-0.04862442166154404,-0.01928324564379173,-0.006378151344226435,-0.036482261984921195,-0.2368188777968987
17,-0.041012566660715316,-0.03618524899135359,5.230900732578475e-16,-0.052056182556644175,-0.03910471558770553,-0.057220754690779925,-0.06796702917276282,-0.03290921442869128,-0.05338075306292045,-0.40142288630246525
18,-0.03949592217585486,-0.03569390328125962,-8.549376139442569e-17,-0.052703885210910885,-0.043252251937324314,-0.05306478836242002,-0.08414139468245015,-0.04175247565779117,-0.05405989060136119,-0.4266254533326583
19,-0.03624673878921966,-0.03525128881788934,-1.694658275535648e-09,-0.041683400197720655,-0.042978876758937454,-0.033025627484774306,-0.08436220230048064,-0.041754121828937146,-0.040022425292098394,-0.3756383875320865
20,-0.03140397148577052,-0.06081264888390527,-2.236424162174647e-18,-0.05867609854813695,-0.07618231553897353,-0.043986125150410775,-0.15092384828269712,-0.07953996168955328,-0.061817246339722874,-0.5949542926588925
21,-0.028045758194430576,-0.06545509549072981,-8.8262936067729095e-16,-0.05635969328594294,-0.08218258886142062,-0.045986518565551304,-0.16307338273410688,-0.08645245516106771,-0.06576697246312745,-0.6271764956447858
22,-0.01246342751899916,-0.0477607925510831,-6.744140973975416e-10,-0.04409323157202322,-0.05780390553675938,-0.04286727626761691,-0.11841472979175681,-0.05714693619082416,-0.0527752917684347,-0.4572098907804813
23,-0.00972825603908435,-0.02300858932220354,-1.4649704919541535e-10,-0.025517220927277325,-0.02710197341183083,-0.027976380248409122,-0.05493825369234479,-0.025335906606219986,-0.02995989622190369,-0.23931258634064964
